Subject,Task,Contrast,Gradient,Value
12,Semantic,Probe_MCB,2,0.1384
12,Semantic,Probe_MCB,3,0.0687
12,Semantic,Dots_SCB,1,0.1171
12,Semantic,Dots_SCB,2,-0.05
12,Semantic,Dots_SCB,3,0.2043
12,Semantic,Dots_MCB,1,0.1568
12,Semantic,Dots_MCB,2,-0.0527
12,Semantic,Dots_MCB,3,0.1262
12,Semantic,Decision_SCB,1,-0.1589
12,Semantic,Decision_SCB,2,0.2798
12,Semantic,Decision_SCB,3,-0.165
12,Semantic,Decision_MCB,1,-0.2318
12,Semantic,Decision_MCB,2,0.2723
12,Semantic,Decision_MCB,3,-0.0594
12,Context,Probe_SCB,1,-0.0496
12,Context,Probe_SCB,2,0.3358
12,Context,Probe_SCB,3,-0.0909
12,Context,Probe_MCB,1,-0.0397
12,Context,Probe_MCB,2,0.3132
12,Context,Probe_MCB,3,-0.1017
12,Context,Dots_SCB,1,0.0778
12,Context,Dots_SCB,2,-0.0417
12,Context,Dots_SCB,3,0.0764
12,Context,Dots_MCB,1,0.0832
12,Context,Dots_MCB,2,-0.0281
12,Context,Dots_MCB,3,0.1347
12,Context,Decision_SCB,1,-0.2691
12,Context,Decision_SCB,2,0.3541
12,Context,Decision_SCB,3,-0.0075
12,Context,Decision_MCB,1,-0.2754
12,Context,Decision_MCB,2,0.3611
12,Context,Decision_MCB,3,-0.0388
13,Semantic,Probe_SCB,1,0.0033
13,Semantic,Probe_SCB,2,0.1543
13,Semantic,Probe_SCB,3,-0.1353
13,Semantic,Probe_MCB,1,-0.0311
13,Semantic,Probe_MCB,2,0.1686
13,Semantic,Probe_MCB,3,-0.1353
13,Semantic,Dots_SCB,1,0.0362
13,Semantic,Dots_SCB,2,0.1023
13,Semantic,Dots_SCB,3,-0.1179
13,Semantic,Dots_MCB,1,0.0375
13,Semantic,Dots_MCB,2,0.0466
13,Semantic,Dots_MCB,3,-0.0636
13,Semantic,Decision_SCB,1,-0.0821
13,Semantic,Decision_SCB,2,0.1044
13,Semantic,Decision_SCB,3,0.177
13,Semantic,Decision_MCB,1,-0.1201
13,Semantic,Decision_MCB,2,0.2333
13,Semantic,Decision_MCB,3,0.1733
13,Context,Probe_SCB,1,-0.1116
13,Context,Probe_SCB,2,0.251
13,Context,Probe_SCB,3,0.0363
13,Context,Probe_MCB,1,-0.1403
